Date,Close,Change,Fluctuation,Open,High,Low,Volume,Transaction,Market_cap
2020.12.16,939.65,8.38,0.9,932.41,941.45,932.41,1998313,1.56E+07,3.73E+08
2020.12.15,931.27,1.73,0.19,930.73,934.3,921.27,2100826,1.58E+07,3.70E+08
2020.12.14,929.54,1.1,0.12,930.78,935.9,924.52,1610592,1.45E+07,3.69E+08
2020.12.11,928.44,6.74,0.73,925.3,929.23,923.39,1913759,1.28E+07,3.68E+08
2020.12.10,921.7,7.89,0.86,913.02,922.13,905.76,2666888,1.43E+07,3.65E+08
2020.12.9,913.81,6.97,0.77,908.05,917.21,904.45,2695658,1.56E+07,3.62E+08
2020.12.8,906.84,-20.04,-2.16,927.69,933.14,906.31,2601247,1.88E+07,3.59E+08
2020.12.7,926.88,13.12,1.44,914.15,927.35,910.36,2240527,1.57E+07,3.67E+08
2020.12.4,913.76,6.15,0.68,909.99,914.27,908.24,2167590,1.60E+07,3.62E+08
2020.12.3,907.61,8.27,0.92,901.61,907.72,900.09,2361181,1.64E+07,3.59E+08
2020.12.2,899.34,8.05,0.9,894.94,899.87,891.61,1890607,1.31E+07,3.56E+08
2020.12.1,891.29,5.18,0.58,889.53,892.22,883.24,2133268,1.21E+07,3.52E+08
2020.11.30,886.11,0.55,0.06,890.65,891.53,885.65,1738037,1.22E+07,3.50E+08
2020.11.27,885.56,11.03,1.26,876.37,886.2,875.45,1829517,1.23E+07,3.50E+08
2020.11.26,874.53,9.41,1.09,868.6,875.26,861.05,1917340,1.46E+07,3.45E+08
2020.11.25,865.12,-6.98,-0.8,877.35,878.76,855.28,2494368,1.81E+07,3.41E+08
2020.11.24,872.1,-1.19,-0.14,876.65,876.89,868.89,3185108,1.49E+07,3.43E+08
2020.11.23,873.29,3.11,0.36,872.22,875.26,868.6,2118836,1.29E+07,3.43E+08
2020.11.20,870.18,10.24,1.19,863.07,870.78,861.29,2148982,1.35E+07,3.42E+08
2020.11.19,859.94,8.2,0.96,851.68,860.99,849.72,2249201,1.48E+07,3.37E+08
2020.11.18,851.74,12.27,1.46,842.55,852.27,840.43,2330367,1.40E+07,3.34E+08
2020.11.17,839.47,-7.86,-0.93,846.55,846.55,836,1789493,1.36E+07,3.29E+08
2020.11.16,847.33,8.19,0.98,843.49,849.8,841.6,1619880,1.03E+07,3.32E+08
2020.11.13,839.14,-0.94,-0.11,837.28,839.54,826.17,1878626,1.17E+07,3.28E+08
2020.11.12,840.08,0.18,0.02,844.64,846.87,835.95,2068886,1.10E+07,3.29E+08
2020.11.11,839.9,-0.89,-0.11,840.89,842.76,829.53,2281172,1.41E+07,3.28E+08
2020.11.10,840.79,-10.42,-1.22,844.22,844.22,835.27,1815647,1.16E+07,3.29E+08
2020.11.9,851.21,14.43,1.72,845.81,851.21,845.17,1735445,9931000,3.33E+08
2020.11.6,836.78,-8.02,-0.95,849.18,849.39,832.27,1923199,1.30E+07,3.28E+08
2020.11.5,844.8,17.83,2.16,833.37,845.81,831.78,1660810,9827780,3.30E+08
2020.11.4,826.97,8.51,1.04,826.04,828.89,814.76,1804689,1.08E+07,3.23E+08
2020.11.3,818.46,15.51,1.93,810.01,821.28,810.01,1672274,8746155,3.20E+08
2020.11.2,802.95,10.3,1.3,796.46,805.92,789.85,1537120,6627149,3.13E+08
2020.10.30,792.65,-21.28,-2.61,814.16,814.59,791.3,1880463,8550017,3.09E+08
2020.10.29,813.93,7.73,0.96,791.02,814.16,791.02,1942545,8292420,3.17E+08
2020.10.28,806.2,22.47,2.87,784.88,806.2,784.88,2049765,7888726,3.15E+08
2020.10.27,783.73,5.71,0.73,771.84,794.04,766.96,2056534,9246701,3.06E+08
2020.10.26,778.02,-29.96,-3.71,808.06,808.06,776.7,1634354,8397441,3.03E+08
2020.10.23,807.98,-4.72,-0.58,817.7,817.7,804.75,1613364,8366884,3.15E+08
2020.10.22,812.7,-17.97,-2.16,826.71,826.71,812.7,1734932,9569521,3.17E+08
2020.10.21,830.67,6.02,0.73,827.35,830.95,819.66,1492450,8700877,3.23E+08
2020.10.20,824.65,2.4,0.29,816.16,825.96,803.24,1664944,1.02E+07,3.21E+08
2020.10.19,822.25,-11.59,-1.39,836.83,838.63,821.5,1701656,8516310,3.20E+08
2020.10.16,833.84,-10.6,-1.26,845.63,849.2,822.58,2275828,1.07E+07,3.24E+08
2020.10.15,844.44,-17.04,-1.98,861.37,861.37,833.55,2238669,1.25E+07,3.28E+08
2020.10.14,861.48,-10.44,-1.2,873.04,875.02,859.88,2373269,1.29E+07,3.35E+08
2020.10.13,871.92,-1.58,-0.18,878.15,878.15,865.95,2277904,1.43E+07,3.38E+08
2020.10.12,873.5,1.88,0.22,875.25,875.25,868.01,2009373,1.18E+07,3.39E+08
2020.10.8,871.62,1.96,0.23,875.12,875.59,867.63,1994294,1.21E+07,3.39E+08
2020.10.7,869.66,7.08,0.82,856.7,869.69,856.66,2013039,1.06E+07,3.38E+08
2020.10.6,862.58,4.19,0.49,863.74,866.67,855.65,1981912,1.10E+07,3.35E+08
2020.10.5,858.39,10.24,1.21,848.67,858.82,843.06,1675261,9951690,3.33E+08
2020.9.29,848.15,12.24,1.46,844.69,848.59,839.68,2084774,1.14E+07,3.29E+08
2020.9.28,835.91,27.63,3.42,820.72,836.15,819.86,1938337,1.11E+07,3.24E+08
