날짜,시간,국가,경제지표,실제,예상,이전,중요도
04.26 (Thu), 08:00,kr,GDP 성장률(분기대비) 예비치 Q1,1.1%,1%,-0.2%,상
04.26 (Thu), 08:00,kr,GDP 성장률 (연간) 교수실 Q1,2.8%,2.9%,2.8%,상
04.24 (Tue), 23:00,us,신규주택판매 Mar,0.694M,0.63M,0.667M,상
04.23 (Mon), 23:00,us,기존주택판매 Mar,5.6M,5.54M,5.54M,상
04.18 (Wed), 17:30,gb,인플레이션율(YoY) Mar,2.5%,2.7%,2.7%,상
04.17 (Tue), 17:30,gb,실업수당청구 변동 Mar,11.6K,5K,15.1K,상
04.17 (Tue), 17:30,gb,실업률 Feb,4.2%,4.3%,4.3%,상
04.17 (Tue), 11:00,cn,경제성장률(QoQ) Q1,1.4%,1.5%,1.6%,상
04.17 (Tue), 11:00,cn,경제성장률(YoY) Q1,6.8%,6.8%,6.8%,상
04.16 (Mon), 21:30,us,월간 소매 판매 Mar,0.6%,0.4%,-0.1%,상
04.13 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Apr,97.8,100.5,101.4,상
04.13 (Fri), 12:00,cn,수입(YoY) Mar,14.4%,10%,6.3%,상
04.13 (Fri), 12:00,cn,무역수지 Mar,$-4.98B,$27.1B,$33.75B,상
04.13 (Fri), 12:00,cn,수출(YoY) Mar,-2.7%,10%,44.5%,상
04.12 (Thu), 03:00,us,FOMC 회의록 ,,,,상
04.11 (Wed), 21:30,us,인플레이션율(YoY) Mar,2.4%,2.4%,2.2%,상
04.11 (Wed), 21:30,us,핵심물가상승률 (YoY) Mar,2.1%,2.1%,1.8%,상
04.11 (Wed), 17:30,gb,무역수지 Feb,&pound;-0.965B,&pound;-2.6B,&pound;-2.949B,상
04.11 (Wed), 10:30,cn,인플레이션율(YoY) Mar,2.1%,2.6%,2.9%,상
04.10 (Tue), 10:30,cn,President Jinping Speech at Boao Forum ,,,,상
04.06 (Fri), 21:30,us,비 농장 급여 Mar,103K,193K,326K,상
04.06 (Fri), 21:30,us,실업률 Mar,4.1%,4%,4.1%,상
04.05 (Thu), 21:30,us,무역수지 Feb,$-57.6B,$-56.9B,$-56.7B,상
04.04 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Mar,58.8,59,59.5,상
04.04 (Wed), 21:15,us,ADP 고용변화 Mar,241K,208K,246K,상
04.02 (Mon), 23:00,us,ISM 제조업 신규 주문 Mar,61.9,,64.2,상
04.02 (Mon), 23:00,us,ISM 제조업 PMI Mar,59.3,60,60.8,상
04.02 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Mar,51,51.8,51.6,상
03.31 (Sat), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Mar,51.5,50.5,50.3,상
03.29 (Thu), 21:30,us,개인소비 Feb,0.2%,0.2%,0.2%,상
03.29 (Thu), 21:30,us,개인소득 (MoM) Feb,0.4%,0.4%,0.4%,상
03.29 (Thu), 17:30,gb,경제성장률(YoY) 최종 Q4,1.4%,1.4%,1.8%,상
03.29 (Thu), 17:30,gb,경제성장률(QoQ) 최종 Q4,0.4%,0.4%,0.5%,상
03.29 (Thu), 08:01,gb,GFK 소비자 신뢰지수 Mar,-7,-10,-10,상
03.28 (Wed), 21:30,us,경제성장률(QoQ) 최종 Q4,2.9%,2.7%,3.2%,상
03.23 (Fri), 23:00,us,신규주택판매 Feb,0.618M,0.623M,0.622M,상
03.23 (Fri), 21:30,us,내구재 주문 (월간) Feb,3.1%,1.5%,-3.5%,상
03.22 (Thu), 21:00,gb,영란은행 양적완화 ,&pound;435B,&pound;435B,&pound;435B,상
03.22 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
03.22 (Thu), 03:30,us,연준 기자 회견 ,,,,상
03.22 (Thu), 03:00,us,FOMC 경제 예측 ,,,,상
03.22 (Thu), 03:00,us,연준 기준금리 결정 ,1.75%,1.75%,1.5%,상
03.21 (Wed), 23:00,us,기존주택판매 Feb,5.54M,5.4M,5.38M,상
03.21 (Wed), 18:30,gb,실업수당청구 변동 Feb,9.2K,-5K,-1.6K,상
03.21 (Wed), 18:30,gb,실업률 Jan,4.3%,4.4%,4.4%,상
03.20 (Tue), 18:30,gb,인플레이션율(YoY) Feb,2.7%,2.8%,3%,상
03.16 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Mar,102,99.5,99.7,상
03.14 (Wed), 21:30,us,월간 소매 판매 Feb,-0.1%,0.3%,-0.1%,상
03.13 (Tue), 21:30,us,핵심물가상승률 (YoY) Feb,1.8%,1.8%,1.8%,상
03.13 (Tue), 21:30,gb,Spring Budget 2018 ,,,,상
03.13 (Tue), 21:30,us,인플레이션율(YoY) Feb,2.2%,2.2%,2.1%,상
03.09 (Fri), 22:30,us,실업률 Feb,4.1%,4%,4.1%,상
03.09 (Fri), 18:30,gb,무역수지 Jan,&pound;-3.074B,,&pound;-2.492B,상
03.09 (Fri), 10:30,cn,인플레이션율(YoY) Feb,2.9%,2.5%,1.5%,상
03.08 (Thu), 12:00,cn,수입(YoY) Feb,6.3%,9.7%,36.8%,상
03.08 (Thu), 12:00,cn,수출(YoY) Feb,44.5%,13.6%,11.1%,상
03.08 (Thu), 12:00,cn,무역수지 Feb,$33.74B,$-2.3B,$20.35B,상
03.07 (Wed), 22:30,us,무역수지 Jan,$-56.6B,$-55.1B,$-53.9B,상
03.07 (Wed), 22:15,us,ADP 고용변화 Feb,235K,195K,244K,상
03.06 (Tue), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) Feb,59.5,59,59.9,상
03.05 (Mon), 09:00,cn,전국 인민 대회 ,,,,상
03.02 (Fri), 22:30,gb,Prime Minister Theresa May Speech ,,,,상
03.02 (Fri), 00:00,us,ISM 제조업 PMI Feb,60.8,58.7,59.1,상
03.02 (Fri), 00:00,us,Fed Powell Testimony ,,,,상
03.01 (Thu), 22:30,us,개인소비 Jan,0.2%,0.2%,0.4%,상
03.01 (Thu), 22:30,us,개인소득 (MoM) Jan,0.4%,0.3%,0.4%,상
03.01 (Thu), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Feb,51.6,51.3,51.5,상
03.01 (Thu), 00:00,us,잠정주택판매 (전월대비) Jan,-4.7%,0.3%,0%,상
02.28 (Wed), 22:30,us,경제성장률(QoQ) 2차 추정치 Q4,2.5%,2.5%,3.2%,상
02.28 (Wed), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Feb,50.3,51.2,51.3,상
02.28 (Wed), 09:01,gb,GFK 소비자 신뢰지수 Feb,-10,-10,-9,상
02.28 (Wed), 00:00,us,Fed Powell Testimony ,,,,상
02.27 (Tue), 22:30,us,내구재 주문 (월간) Jan,-3.7%,-2%,2.6%,상
02.27 (Tue), 22:30,us,Fed Powell Testimony ,,,,상
02.27 (Tue), 00:00,us,신규주택판매 Jan,0.593M,0.65M,0.643M,상
02.22 (Thu), 18:30,gb,GDP 성장률 2분기 추정치 (분기대비) Q4,0.4%,0.5%,0.5%,상
02.22 (Thu), 18:30,gb,GDP 성장률 2분기 추정치 (전년대비) Q4,1.4%,1.5%,1.8%,상
02.22 (Thu), 04:00,us,FOMC 회의록 ,,,,상
02.22 (Thu), 00:00,us,기존주택판매 Jan,5.38M,5.6M,5.56M,상
02.21 (Wed), 18:30,gb,실업률 Dec,4.4%,4.3%,4.3%,상
02.21 (Wed), 18:30,gb,실업수당청구 변동 Jan,-7.2K,4.1K,6.2K,상
02.17 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Feb,99.9,97,95.7,상
02.14 (Wed), 22:30,us,월간 소매 판매 Jan,-0.3%,0.2%,0%,상
02.14 (Wed), 22:30,us,핵심물가상승률 (YoY) Jan,1.8%,1.7%,1.8%,상
02.14 (Wed), 22:30,us,인플레이션율(YoY) Jan,2.1%,1.9%,2.1%,상
02.13 (Tue), 18:30,gb,인플레이션율(YoY) Jan,3%,2.9%,3%,상
02.09 (Fri), 18:30,gb,무역수지 Dec,￡-4.896B,￡-2.4B,￡-3.65B,상
02.09 (Fri), 10:30,cn,인플레이션율(YoY) Jan,1.5%,1.5%,1.8%,상
02.08 (Thu), 21:00,gb,영란은행 양적완화 ,￡435B,￡435B,￡435B,상
02.08 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
02.08 (Thu), 12:00,cn,수입(YoY) Jan,36.9%,9.8%,4.5%,상
02.08 (Thu), 12:00,cn,수출(YoY) Jan,11.1%,9.6%,10.9%,상
02.08 (Thu), 12:00,cn,무역수지 Jan,$20.34B,$54.1B,$54.69B,상
02.06 (Tue), 22:30,us,무역수지 Dec,$-53.1B,$-52B,$-50.4B,상
02.06 (Tue), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) Jan,59.9,56.5,56,상
02.02 (Fri), 22:30,us,비 농장 급여 Jan,200K,180K,148K,상
02.02 (Fri), 22:30,us,실업률 Jan,4.1%,4.1%,4.1%,상
02.02 (Fri), 00:00,us,ISM 제조업 PMI Jan,59.1,58.8,59.3,상
02.01 (Thu), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jan,51.5,51.5,51.5,상
02.01 (Thu), 04:00,us,연준 기준금리 결정 ,1.5%,1.5%,1.5%,상
01.31 (Wed), 22:15,us,ADP 고용변화 Jan,234K,186K,242K,상
01.31 (Wed), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Jan,51.3,51.5,51.6,상
01.31 (Wed), 09:01,gb,GFK 소비자 신뢰지수 Jan,-9,-13,-13,상
01.29 (Mon), 22:30,us,개인소비 Dec,0.4%,0.5%,0.8%,상
01.29 (Mon), 22:30,us,개인소득 (MoM) Dec,0.4%,0.3%,0.3%,상
01.26 (Fri), 22:30,us,경제성장률(QoQ) 추정 Q4,2.6%,3%,3.2%,상
01.26 (Fri), 22:30,us,내구재 주문 (월간) Dec,2.9%,0.8%,1.7%,상
01.26 (Fri), 18:30,gb,경제성장률(YoY) 예상 Q4,1.5%,1.4%,1.7%,상
01.26 (Fri), 18:30,gb,경제성장률(QoQ) 예상 Q4,0.5%,0.4%,0.4%,상
01.26 (Fri), 00:00,us,신규주택판매 Dec,0.625M,0.676M,0.689M,상
01.25 (Thu), 08:00,kr,GDP 성장률 (연간) 교수실 Q4,3%,3.1%,3.8%,상
01.25 (Thu), 08:00,kr,GDP 성장률(분기대비) 예비치 Q4,-0.2%,0.1%,1.5%,상
01.25 (Thu), 00:00,us,기존주택판매 Dec,5.57M,5.7M,5.78M,상
01.24 (Wed), 18:30,gb,실업률 Nov,4.3%,4.3%,4.3%,상
01.24 (Wed), 18:30,gb,실업수당청구 변동 Dec,8.6K,5.4K,12.2K,상
01.21 (Sun), 02:00,us,President Trump Speech ,,,,상
01.20 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jan,94.4,97.1,95.9,상
01.18 (Thu), 16:00,cn,경제성장률(QoQ) Q4,1.6%,1.6%,1.8%,상
01.18 (Thu), 16:00,cn,경제성장률(YoY) Q4,6.8%,6.7%,6.8%,상
01.16 (Tue), 18:30,gb,인플레이션율(YoY) Dec,3%,3%,3.1%,상
01.12 (Fri), 22:30,us,핵심물가상승률 (YoY) Dec,1.8%,1.7%,1.7%,상
01.12 (Fri), 22:30,us,인플레이션율(YoY) Dec,2.1%,2.1%,2.2%,상
01.12 (Fri), 22:30,us,월간 소매 판매 Dec,0.4%,0.4%,0.9%,상
01.12 (Fri), 12:00,cn,무역수지 Dec,$54.69B,$37B,$40.21B,상
01.12 (Fri), 01:00,us,트럼프 대통령 당선자 기자회견 ,,,,상
01.10 (Wed), 18:30,gb,무역수지 Nov,￡-2.804B,,￡-2.270B,상
01.10 (Wed), 10:30,cn,인플레이션율(YoY) Dec,1.8%,1.9%,1.7%,상
01.06 (Sat), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) Dec,55.9,57.6,57.4,상
01.05 (Fri), 22:30,us,무역수지 Nov,$-50.5B,$-49.5B,$-48.9B,상
01.05 (Fri), 22:30,us,실업률 Dec,4.1%,4.1%,4.1%,상
01.05 (Fri), 22:30,us,비 농장 급여 Dec,148K,190K,252K,상
01.05 (Fri), 04:00,us,FOMC 회의록 ,,,,상
01.04 (Thu), 22:15,us,ADP 고용변화 Dec,250K,190K,185K,상
01.04 (Thu), 04:00,us,FOMC 회의록 ,,,,상
01.04 (Thu), 00:00,us,ISM 제조업 PMI Dec,59.7,58.1,58.2,상
01.02 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Dec,51.5,50.6,50.8,상
01.01 (Mon), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Dec,,,,상
12.31 (Sun), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Dec,51.6,1.6,51.8,상
12.23 (Sat), 00:00,us,신규주택판매 Nov,0.733M,0.654M,0.624M,상
12.22 (Fri), 22:30,us,내구재 주문 (월간) Nov,1.3%,2%,-0.4%,상
12.22 (Fri), 22:30,us,개인소비 Nov,0.6%,0.5%,0.2%,상
12.22 (Fri), 22:30,us,개인소득 (MoM) Nov,0.3%,0.4%,0.4%,상
12.22 (Fri), 18:30,gb,경제성장률(YoY) 최종 Q3,1.7%,1.5%,1.9%,상
12.22 (Fri), 18:30,gb,경제성장률(QoQ) 최종 Q3,0.4%,0.4%,0.3%,상
12.21 (Thu), 22:30,us,경제성장률(QoQ) 최종 Q3,3.2%,3.3%,3.1%,상
12.21 (Thu), 09:01,gb,GFK 소비자 신뢰지수 Dec,-13,-12,-12,상
12.21 (Thu), 00:00,us,기존주택판매 Nov,5.81M,5.52M,5.5M,상
12.14 (Thu), 22:30,us,월간 소매 판매 Nov,0.8%,0.3%,0.5%,상
12.14 (Thu), 21:00,gb,영란은행 양적완화 ,￡435B,￡435B,￡435B,상
12.14 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.5%,상
12.14 (Thu), 21:00,gb,MPC 회의록 ,,,,상
12.14 (Thu), 04:30,us,연준 기자 회견 ,,,,상
12.14 (Thu), 04:00,us,연준 기준금리 결정 ,1.5%,1.5%,1.25%,상
12.14 (Thu), 04:00,us,FOMC 경제 예측 ,,,,상
12.13 (Wed), 22:30,us,인플레이션율(YoY) Nov,2.2%,2.2%,2%,상
12.13 (Wed), 22:30,us,핵심물가상승률 (YoY) Nov,1.7%,1.8%,1.8%,상
12.13 (Wed), 18:30,gb,실업률 Oct,4.3%,4.2%,4.3%,상
12.13 (Wed), 18:30,gb,실업수당청구 변동 Nov,5.9K,3.2K,6.5K,상
12.12 (Tue), 18:30,gb,인플레이션율(YoY) Nov,3.1%,3.0%,3.0%,상
12.09 (Sat), 10:30,cn,인플레이션율(YoY) Nov,1.7%,1.8%,1.9%,상
12.09 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Dec,96.8,99,98.5,상
12.08 (Fri), 22:30,us,비 농장 급여 Nov,228K,200K,244K,상
12.08 (Fri), 22:30,us,실업률 Nov,4.1%,4.1%,4.1%,상
12.08 (Fri), 18:30,gb,무역수지 Oct,￡-1.405B,￡-3.00B,￡-1.1B,상
12.08 (Fri), 12:00,cn,수입(YoY) Nov,17.7%,11.3%,17.2%,상
12.08 (Fri), 12:00,cn,수출(YoY) Nov,12.3%,5.0%,6.9%,상
12.08 (Fri), 12:00,cn,무역수지 Nov,$40.21B,$35.00B,$38.19B,상
12.06 (Wed), 22:15,us,ADP 고용변화 Nov,190K,185K,235K,상
12.06 (Wed), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) Nov,57.4,59,60.1,상
12.05 (Tue), 22:30,us,무역수지 Oct,$-48.70B,$-47.5B,$-44.90B,상
12.02 (Sat), 00:00,us,ISM 제조업 PMI Nov,58.2,58.4,58.7,상
12.01 (Fri), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Nov,50.8,50.9,51,상
11.30 (Thu), 22:30,us,개인소득 (MoM) Oct,0.4%,0.3%,0.4%,상
11.30 (Thu), 22:30,us,개인소비 Oct,0.3%,0.3%,0.9%,상
11.30 (Thu), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Nov,51.8,51.4,51.6,상
11.30 (Thu), 08:20,gb,GFK 소비자 신뢰지수 Nov,-12,-11,-10,상
11.29 (Wed), 22:30,us,경제성장률(QoQ) 2차 추정치 Q3,3.3%,3.2%,3.1%,상
11.28 (Tue), 00:00,us,신규주택판매 Oct,0.685M,0.625M,0.645M,상
11.23 (Thu), 18:30,gb,GDP 성장률 2분기 추정치 (분기대비) Q3,0.4%,0.3%,0.3%,상
11.23 (Thu), 18:30,gb,GDP 성장률 2분기 추정치 (전년대비) Q3,1.5%,1.5%,1.5%,상
11.23 (Thu), 04:00,us,FOMC 회의록 ,,,,상
11.22 (Wed), 22:30,us,내구재 주문 (월간) Oct,-1.2%,0.3%,2.2%,상
11.22 (Wed), 00:00,us,기존주택판매 Oct,5.48M,5.43M,5.37M,상
11.15 (Wed), 22:30,us,핵심물가상승률 (YoY) Oct,1.8%,1.7%,1.7%,상
11.15 (Wed), 22:30,us,인플레이션율(YoY) Oct,2.0%,2.0%,2.2%,상
11.15 (Wed), 22:30,us,월간 소매 판매 Oct,0.2%,0.0%,1.9%,상
11.15 (Wed), 18:30,gb,실업수당청구 변동 Oct,1.1K,2.3K,2.6K,상
11.15 (Wed), 18:30,gb,실업률 Sep,4.3%,4.3%,4.3%,상
11.14 (Tue), 18:30,gb,인플레이션율(YoY) Oct,3.0%,3.1%,3%,상
11.11 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Nov,97.8,98.9,100.7,상
11.10 (Fri), 18:30,gb,무역수지 Sep,￡-2.75B,￡-4.600B,￡-3.46B,상
11.09 (Thu), 10:30,cn,인플레이션율(YoY) Oct,1.9%,1.8%,1.6%,상
11.08 (Wed), 12:00,cn,무역수지 Oct,$38.2B,$39.50B,$28.61B,상
11.08 (Wed), 12:00,cn,수출(YoY) Oct,6.9%,7.2%,8.1%,상
11.08 (Wed), 12:00,cn,수입(YoY) Oct,17.2%,16.0%,18.7%,상
11.03 (Fri), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Oct,60.1,58.5,59.8,상
11.03 (Fri), 21:30,us,비 농장 급여 Oct,261K,310K,18K,상
11.03 (Fri), 21:30,us,무역수지 Sep,$-43.50B,$-43.2B,$-42.80B,상
11.03 (Fri), 21:30,us,실업률 Oct,4.1%,4.2%,4.2%,상
11.02 (Thu), 21:00,gb,영란은행 양적완화 ,￡435B,￡435B,￡435B,상
11.02 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.5%,0.5%,0.25%,상
11.02 (Thu), 21:00,gb,MPC 회의록 ,,,,상
11.02 (Thu), 03:00,us,연준 기준금리 결정 ,1.25%,1.25%,1.25%,상
11.01 (Wed), 23:00,us,ISM 제조업 PMI Oct,58.7,59.5,60.8,상
11.01 (Wed), 21:15,us,ADP 고용변화 Oct,235K,200K,110K,상
11.01 (Wed), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Oct,51,51,51,상
10.31 (Tue), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Oct,51.6,52,52.4,상
10.31 (Tue), 08:25,gb,GFK 소비자 신뢰지수 Oct,-10,-10,-9,상
10.30 (Mon), 21:30,us,개인소비 Sep,1.0%,0.8%,0.1%,상
10.30 (Mon), 21:30,us,개인소득 (MoM) Sep,0.4%,0.4%,0.2%,상
10.27 (Fri), 21:30,us,경제성장률(QoQ) 추정 Q3,3.0%,2.5%,3.1%,상
10.26 (Thu), 08:00,kr,GDP 성장률(분기대비) 예비치 Q3,1.4%,1.0%,0.6%,상
10.26 (Thu), 08:00,kr,GDP 성장률(연간) 예비치 Q3,3.6%,3.2%,2.7%,상
10.25 (Wed), 23:00,us,신규주택판매 Sep,667K,0.555M,561K,상
10.25 (Wed), 21:30,us,내구재 주문 (월간) Sep,2.2%,1.0%,2.0%,상
10.25 (Wed), 17:30,gb,경제성장률(QoQ) 예상 Q3,0.4%,0.3%,0.3%,상
10.25 (Wed), 17:30,gb,경제성장률(YoY) 예상 Q3,1.5%,1.4%,1.5%,상
10.20 (Fri), 23:00,us,기존주택판매 Sep,5.39M,5.30M,5.35M,상
10.19 (Thu), 11:00,cn,경제성장률(QoQ) Q3,1.7%,1.7%,1.8%,상
10.19 (Thu), 11:00,cn,경제성장률(YoY) Q3,6.8%,6.8%,6.9%,상
10.18 (Wed), 17:30,gb,실업수당청구 변동 Sep,1.7K,1.0K,-0.2K,상
10.18 (Wed), 17:30,gb,실업률 Aug,4.3%,4.3%,4.3%,상
10.18 (Wed), 09:00,cn,19th National Congress of the Communist Party ,,,,상
10.17 (Tue), 17:30,gb,인플레이션율(YoY) Sep,3%,3.0%,2.9%,상
10.16 (Mon), 10:30,cn,인플레이션율(YoY) Sep,1.6%,1.6%,1.8%,상
10.13 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Oct,101.1,97.8,95.1,상
10.13 (Fri), 21:30,us,인플레이션율(YoY) Sep,2.2%,2.3%,1.9%,상
10.13 (Fri), 21:30,us,핵심물가상승률 (YoY) Sep,1.7%,1.8%,1.7%,상
10.13 (Fri), 21:30,us,월간 소매 판매 Sep,1.6%,1.7%,-0.1%,상
10.13 (Fri), 11:30,cn,수출(YoY) Sep,8.1%,8.8%,5.5%,상
10.13 (Fri), 11:30,cn,무역수지 Sep,$28.47B,$39.5B,$41.99B,상
10.13 (Fri), 11:30,cn,수입(YoY) Sep,18.7%,13.5%,13.3%,상
10.12 (Thu), 03:00,us,FOMC 회의록 ,,,,상
10.10 (Tue), 17:30,gb,무역수지 Aug,￡-5.63B,￡-2.800B,￡-4.24B,상
10.06 (Fri), 21:30,us,비 농장 급여 Sep,-33K,90K,169K,상
10.06 (Fri), 21:30,us,실업률 Sep,4.2%,4.4%,4.4%,상
10.05 (Thu), 21:30,us,무역수지 Aug,$-42.40B,$-42.70B,$-43.60B,상
10.04 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Sep,59.8,55.5,55.3,상
10.04 (Wed), 21:15,us,ADP 고용변화 Sep,135K,125K,228K,상
10.02 (Mon), 23:00,us,ISM 제조업 PMI Sep,60.8,58,58.8,상
09.30 (Sat), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Sep,51,51.5,51.6,상
09.30 (Sat), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Sep,52.4,51.5,51.7,상
09.29 (Fri), 17:30,gb,경제성장률(YoY) 최종 Q2,1.5%,1.7%,1.8%,상
09.29 (Fri), 17:30,gb,경제성장률(QoQ) 최종 Q2,0.3%,0.3%,0.3%,상
09.29 (Fri), 08:05,gb,GFK 소비자 신뢰지수 Sep,-9,-11,-10,상
09.28 (Thu), 21:30,us,경제성장률(QoQ) 최종 Q2,3.1%,3%,1.2%,상
09.28 (Thu), 04:00,us,트럼프 세금관련 연설 ,,,,상
09.27 (Wed), 21:30,us,내구재 주문 (월간) Aug,1.7%,1%,-6.8%,상
09.26 (Tue), 23:00,us,신규주택판매 Aug,560K,588K,0.58M,상
09.22 (Fri), 19:30,gb,총리 연설 (브렉시트 관련) ,,,,상
09.21 (Thu), 03:30,us,연준 기자 회견 ,,,,상
09.21 (Thu), 03:00,us,FOMC 경제 예측 ,,,,상
09.21 (Thu), 03:00,us,연준 기준금리 결정 ,1.25%,1.25%,1.25%,상
09.20 (Wed), 23:00,us,기존주택판매 Aug,5.35M,5.46M,5.44M,상
09.19 (Tue), 00:00,gb,BoE Gov Carney Speech ,,,,상
09.15 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Sep,95.3,95.1,96.8,상
09.15 (Fri), 21:30,us,월간 소매 판매 Aug,-0.2%,0.1%,0.3%,상
09.14 (Thu), 21:30,us,핵심물가상승률 (YoY) Aug,1.7%,1.6%,1.7%,상
09.14 (Thu), 21:30,us,인플레이션율(YoY) Aug,1.9%,1.8%,1.7%,상
09.14 (Thu), 20:00,gb,영란은행 양적완화 ,￡435B,￡435B,￡435B,상
09.14 (Thu), 20:00,gb,영란은행 기준금리 결정 ,0.25%,0.25%,0.25%,상
09.14 (Thu), 20:00,gb,MPC 회의록 ,,,,상
09.13 (Wed), 17:30,gb,실업률 Jul,4.3%,4.4%,4.4%,상
09.13 (Wed), 17:30,gb,실업수당청구 변동 Aug,-2.8K,0.6K,-2.9K,상
09.12 (Tue), 17:30,gb,인플레이션율(YoY) Aug,2.9%,2.8%,2.6%,상
09.09 (Sat), 10:30,cn,인플레이션율(YoY) Aug,1.8%,1.6%,1.4%,상
09.08 (Fri), 17:30,gb,무역수지 Jul,￡-2.87B,,￡-2.91B,상
09.08 (Fri), 11:00,cn,무역수지 Aug,$41.99B,$48.6B,$46.73B,상
09.08 (Fri), 11:00,cn,수출(YoY) Aug,5.5%,6%,7.2%,상
09.08 (Fri), 11:00,cn,수입(YoY) Aug,13.3%,10%,11.0%,상
09.06 (Wed), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Aug,55.3,55.4,53.9,상
09.06 (Wed), 21:30,us,무역수지 Jul,$-43.7B,$-44.6B,$-43.5B,상
09.01 (Fri), 23:00,us,ISM 제조업 PMI Aug,58.8,56.5,56.3,상
09.01 (Fri), 21:30,us,실업률 Aug,4.4%,4.3%,4.3%,상
09.01 (Fri), 21:30,us,비 농장 급여 Aug,156K,180K,189K,상
09.01 (Fri), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Aug,51.6,50.9,51.1,상
08.31 (Thu), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Aug,51.7,51.3,51.4,상
08.31 (Thu), 08:05,gb,GFK 소비자 신뢰지수 Aug,-10,-13,-12,상
08.30 (Wed), 21:30,us,경제성장률(QoQ) 2차 추정치 Q2,3%,2.7%,1.2%,상
08.30 (Wed), 21:15,us,ADP 고용변화 Aug,237K,183K,201K,상
08.25 (Fri), 21:30,us,내구재 주문 (월간) Jul,-6.8%,-6%,6.4%,상
08.24 (Thu), 23:00,us,기존주택판매 Jul,5.44M,5.57M,5.51M,상
08.24 (Thu), 17:30,gb,GDP 성장률 2분기 추정치 (분기대비) Q2,0.3%,0.3%,0.2%,상
08.24 (Thu), 17:30,gb,GDP 성장률 2분기 추정치 (전년대비) Q2,1.7%,1.7%,2%,상
08.23 (Wed), 23:00,us,신규주택판매 Jul,571K,612K,630K,상
08.18 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Aug,97.6,94,93.4,상
08.17 (Thu), 03:00,us,FOMC 회의록 ,,,,상
08.16 (Wed), 17:30,gb,실업수당청구 변동 Jul,-4.2K,3.7K,3.5K,상
08.16 (Wed), 17:30,gb,실업률 Jun,4.4%,4.5%,4.5%,상
08.15 (Tue), 21:30,us,월간 소매 판매 Jul,0.6%,0.4%,0.3%,상
08.15 (Tue), 17:30,gb,인플레이션율(YoY) Jul,2.6%,2.7%,2.6%,상
08.11 (Fri), 21:30,us,인플레이션율(YoY) Jul,1.7%,1.8%,1.6%,상
08.11 (Fri), 21:30,us,핵심물가상승률 (YoY) Jul,1.7%,1.7%,1.7%,상
08.10 (Thu), 17:30,gb,무역수지 Jun,￡-4.56B,￡-2.5B,￡-2.52B,상
08.09 (Wed), 10:30,cn,인플레이션율(YoY) Jul,1.4%,1.5%,1.5%,상
08.08 (Tue), 12:00,cn,수입(YoY) Jul,11.0%,16.6%,17.2%,상
08.08 (Tue), 12:00,cn,수출(YoY) Jul,7.2%,10.9%,11.3%,상
08.08 (Tue), 12:00,cn,무역수지 Jul,$46.74B,$46.08B,$42.77B,상
08.04 (Fri), 21:30,us,무역수지 Jun,$-43.6B,$-45B,$-46.4B,상
08.04 (Fri), 21:30,us,비 농장 급여 Jul,209K,183K,231K,상
